0.5128046151597316,Percent of students who are Male
0.15294518727066728,Percent of Students who are Economically Disadvantaged
0.06681564931344745,Average Class Size
0.04353219132127859,Number of Students Enrolled in Grade 10
0.034102066683934895,Number of Students Enrolled in Grade 6
0.026240388342711387,Percent of Population with Arab Ancestry
0.024164008021874423,Percent of Students with Disabilities
0.017945586652108683,Median Family Income
0.015321530641256298,"Percent of Employed Civilians with Production, Transportation and Material Moving Occupations"
0.010369000596055037,Percent of Student whose First Language is Not English
