School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00070515:Public School:Amesbury:09,10,11,12:00070000:Insufficient data:Level 2:0:0:0:0:0:0:0:0:0:7:2:11:11:0:31:0.0:0.0:51.6:83.9:74.2:0.0:0.0:6.5:87.1:0.0:0.0:6.5:64.5:7.6:77147.0:13001.25:13771.87
00070013:Public School:Amesbury:05,06,07,08:00070000:Level 2:Level 2:0:0:0:0:0:173:158:178:170:0:0:0:0:0:679:3.1:1.6:17.7:34.0:22.4:1.2:1.0:6.6:86.9:0.3:0.1:3.8:51.1:18.4:77147.0:13001.25:13771.87
00070010:Public School:Amesbury:PK,K,01,02,03,04:00070000:Level 2:Level 2:25:86:89:93:94:0:0:0:0:0:0:0:0:0:458:4.8:3.9:24.0:44.5:27.9:2.2:2.0:8.7:84.1:0.4:0.2:2.4:53.5:22.1:77147.0:13001.25:13771.87
00080009:Public School:Amherst:PK,K,01,02,03,04,05,06:00080000:Level 2:Level 2:66:43:50:58:44:60:49:0:0:0:0:0:0:0:404:27.2:18.8:21.8:46.8:26.7:7.2:15.8:25.7:42.8:0.0:0.0:8.4:50.5:18.1:71730.0:20617.42:20236.57
00080020:Public School:Amherst:K,01,02,03,04,05,06:00080000:Level 2:Level 2:0:41:42:42:65:59:44:0:0:0:0:0:0:0:335:24.8:15.5:21.5:52.2:38.2:11.3:14.0:22.1:47.2:0.0:0.0:5.4:49.6:20.2:71730.0:20617.42:20236.57
00080050:Public School:Amherst:K,01,02,03,04,05,06:00080000:Level 2:Level 2:0:57:59:57:72:57:57:0:0:0:0:0:0:0:409:27.6:15.9:15.4:47.4:31.5:10.3:13.7:20.5:47.7:0.2:0.0:7.6:52.6:20.1:71730.0:20617.42:20236.57
00090505:Public School:Andover:09,10,11,12:00090000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:446:459:421:462:18:1806:9.5:0.8:16.1:20.9:6.3:1.9:14.5:5.0:76.3:0.1:0.0:2.2:48.9:14.7:81211.0:14703.35:15601.7
00090310:Public School:Andover:06,07,08:00090000:Level 2:Level 2:0:0:0:0:0:0:182:172:178:0:0:0:0:0:532:8.1:1.1:16.7:23.5:7.5:1.1:15.6:3.6:77.3:0.0:0.0:2.4:46.2:19.9:81211.0:14703.35:15601.7
00090003:Public School:Andover:K,01,02,03,04,05:00090000:Level 2:Level 2:0:93:96:97:112:118:0:0:0:0:0:0:0:0:593:8.1:4.2:16.5:23.8:6.7:3.2:6.6:5.9:78.4:0.3:0.0:5.6:51.8:22.1:81211.0:14703.35:15601.7
00090305:Public School:Andover:06,07,08:00090000:Level 2:Level 2:0:0:0:0:0:0:204:168:189:0:0:0:0:0:561:9.3:0.9:20.0:22.6:4.6:0.5:13.5:3.7:79.0:0.5:0.0:2.7:50.8:19.4:81211.0:14703.35:15601.7
00090010:Public School:Andover:K,01,02,03,04,05:00090000:Level 2:Level 2:0:62:68:63:68:72:0:0:0:0:0:0:0:0:381:16.0:10.0:14.2:28.3:7.9:1.6:28.1:4.5:63.0:0.8:0.0:2.1:54.9:22.1:81211.0:14703.35:15601.7
00090004:Public School:Andover:K,01,02,03,04,05:00090000:Level 1:Level 2:0:80:73:96:95:107:0:0:0:0:0:0:0:0:515:26.0:13.2:14.0:28.5:4.5:2.7:29.1:6.6:58.3:0.0:0.0:3.3:53.6:23.7:81211.0:14703.35:15601.7
