School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00720015:Public School:South Dartmouth:01,02,03,04,05:00720000:Level 1:Level 2:0:68:82:80:92:97:0:0:0:0:0:0:0:0:419:6.0:5.7:12.6:30.8:16.7:0.7:0.5:3.8:90.2:0.0:0.0:4.8:49.9:21.0:73412.0:11893.45:12487.23
00730010:Public School:Dedham:01,02,03,04,05:00730000:Level 2:Level 2:0:54:55:72:72:55:0:0:0:0:0:0:0:0:308:20.1:14.3:21.4:56.8:38.6:9.4:3.6:24.0:56.5:0.6:0.0:5.8:52.3:17.6:76417.0:16419.42:17779.59
00730505:Public School:Dedham:09,10,11,12:00730000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:208:180:160:191:0:739:13.0:3.8:15.2:32.1:18.0:11.6:3.8:13.9:69.3:0.0:0.0:1.4:49.9:15.8:76417.0:16419.42:17779.59
00730305:Public School:Dedham:06,07,08:00730000:Level 2:Level 2:0:0:0:0:0:0:203:213:215:0:0:0:0:0:631:11.7:3.6:24.6:39.8:19.2:6.8:2.4:14.3:73.1:0.3:0.0:3.2:51.3:17.0:76417.0:16419.42:17779.59
00730005:Public School:Dedham:PK,K:00730000:Insufficient data:Level 2:95:0:0:0:0:0:0:0:0:0:0:0:0:0:282:11.3:7.1:16.3:36.2:23.4:5.0:1.4:14.9:69.1:0.7:0.0:8.9:52.1:15.2:76417.0:16419.42:17779.59
00730025:Public School:Dedham:01,02,03,04,05:00730000:Level 2:Level 2:0:38:52:66:64:58:0:0:0:0:0:0:0:0:278:7.6:5.0:18.0:28.4:11.9:3.2:1.8:6.1:84.9:0.0:0.0:4.0:54.3:18.6:76417.0:16419.42:17779.59
00730030:Public School:Dedham:01,02,03,04,05:00730000:Level 2:Level 2:0:52:56:47:65:52:0:0:0:0:0:0:0:0:272:11.8:5.5:16.5:30.5:14.3:7.0:1.8:9.6:73.9:0.0:0.0:7.7:46.7:17.5:76417.0:16419.42:17779.59
00730045:Public School:Dedham:01,02,03,04,05:00730000:Level 2:Level 2:0:34:31:35:43:40:0:0:0:0:0:0:0:0:183:18.6:10.4:20.2:49.2:27.9:6.6:2.2:14.2:74.3:0.0:0.0:2.7:57.4:15.0:76417.0:16419.42:17779.59
00740015:Public School:South Deerfield:PK,K,01,02,03,04,05,06:00740000:Level 2:Level 2:39:39:52:52:51:59:60:0:0:0:0:0:0:0:401:3.0:1.5:18.7:32.7:19.7:0.2:1.7:6.7:85.3:0.0:0.0:6.0:50.4:15.2:66349.0:13578.75:13787.63
00770015:Public School:Douglas:02,03,04,05:00770000:Level 2:Level 2:0:0:83:80:111:130:0:0:0:0:0:0:0:0:404:0.2:0.0:18.1:29.7:16.1:0.5:1.5:1.5:93.6:0.0:0.0:3.0:53.2:26.9:66853.0:10954.26:11612.24
00770505:Public School:Douglas:09,10,11,12:00770000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:106:99:84:104:1:394:0.3:0.3:17.8:26.4:12.7:0.5:1.0:2.5:94.4:0.0:0.3:1.3:47.2:13.7:66853.0:10954.26:11612.24
00770305:Public School:Douglas:06,07,08:00770000:Level 2:Level 2:0:0:0:0:0:0:105:123:132:0:0:0:0:0:360:0.3:0.0:13.9:26.7:17.2:0.6:1.9:4.2:91.1:0.0:0.6:1.7:50.6:25.4:66853.0:10954.26:11612.24
00770005:Public School:Douglas:PK,K,01:00770000:Insufficient data:Level 2:52:99:0:0:0:0:0:0:0:0:0:0:0:0:230:0.0:0.0:18.7:29.1:14.3:0.0:0.9:4.3:92.2:0.0:0.0:2.6:53.9:22.0:66853.0:10954.26:11612.24
00780005:Public School:Dover:PK,K,01,02,03,04,05:00780000:Level 1:Level 1:12:72:68:83:96:88:0:0:0:0:0:0:0:0:483:6.0:2.5:14.9:21.1:2.7:2.9:12.8:4.6:74.7:0.0:0.2:4.8:54.9:20.4:95020.0:18954.79:24262.82
00790035:Public School:Dracut:K,01,02,03,04,05:00790000:Level 2:Level 3:0:69:69:77:85:79:0:0:0:0:0:0:0:0:463:3.7:2.2:14.7:41.0:28.1:10.2:6.5:8.0:74.7:0.2:0.0:0.4:51.6:23.1:70080.0:10714.63:11380.49
00790505:Public School:Dracut:09,10,11,12:00790000:Level 2:Level 3:0:0:0:0:0:0:0:0:0:220:204:190:187:0:801:5.6:0.9:10.0:22.3:13.9:5.7:5.5:6.1:80.3:0.0:0.2:2.1:47.7:18.5:70080.0:10714.63:11380.49
00790045:Public School:Dracut:K,01,02,03,04,05:00790000:Level 2:Level 3:0:87:78:98:86:80:0:0:0:0:0:0:0:0:508:2.4:1.8:16.9:39.2:27.8:4.5:6.1:11.0:76.0:0.0:0.0:2.4:49.2:21.1:70080.0:10714.63:11380.49
00790030:Public School:Dracut:K,01,02,03,04,05:00790000:Level 2:Level 3:0:51:51:49:49:40:0:0:0:0:0:0:0:0:280:3.9:1.8:15.7:40.4:27.9:3.9:4.6:11.8:78.6:0.0:0.0:1.1:51.4:24.0:70080.0:10714.63:11380.49
00790020:Public School:Dracut:PK,K,01,02,03,04,05:00790000:Level 2:Level 3:53:66:94:88:100:77:0:0:0:0:0:0:0:0:546:2.0:1.6:20.0:33.9:17.2:3.1:2.9:4.8:87.5:0.0:0.0:1.6:54.4:21.9:70080.0:10714.63:11380.49
00790410:Public School:Dracut:06,07,08:00790000:Level 3:Level 3:0:0:0:0:0:0:277:301:323:0:0:0:0:0:901:3.8:0.8:14.3:31.5:20.2:5.8:6.2:7.5:78.6:0.2:0.0:1.7:50.8:23.0:70080.0:10714.63:11380.49
00820004:Public School:Duxbury:03,04,05:00820000:Level 2:Level 2:0:0:0:225:242:239:0:0:0:0:0:0:0:0:706:1.1:0.4:15.7:20.1:5.7:0.1:1.4:2.4:92.8:0.1:0.0:3.1:49.2:21.6:74411.0:12788.45:13156.23
00820006:Public School:Duxbury:PK,K,01,02:00820000:Insufficient data:Level 2:65:200:176:0:0:0:0:0:0:0:0:0:0:0:607:1.2:0.5:14.3:19.9:6.6:0.7:1.2:2.1:91.6:0.0:0.0:4.4:51.1:20.8:74411.0:12788.45:13156.23
00820505:Public School:Duxbury:09,10,11,12:00820000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:259:251:275:272:0:1057:0.8:0.2:11.7:16.0:5.5:0.3:1.2:1.3:95.9:0.0:0.0:1.2:51.2:19.8:74411.0:12788.45:13156.23
00820305:Public School:Duxbury:06,07,08:00820000:Level 2:Level 2:0:0:0:0:0:0:243:243:265:0:0:0:0:0:751:1.5:0.7:12.8:17.8:5.5:0.1:1.5:2.3:92.9:0.1:0.0:3.1:53.1:21.8:74411.0:12788.45:13156.23
00830005:Public School:East Bridgewater:PK,K,01,02:00830000:Insufficient data:Level 2:113:161:145:0:0:0:0:0:0:0:0:0:0:0:561:0.7:0.5:15.5:29.2:17.1:2.1:0.7:1.8:89.7:0.4:0.2:5.2:50.4:19.0:72188.0:9451.51:10399.97
00830505:Public School:East Bridgewater:07,08,09,10,11,12:00830000:Level 2:Level 2:0:0:0:0:0:0:0:196:188:175:146:168:178:0:1051:0.7:0.5:14.7:25.7:14.1:2.8:0.3:1.9:93.2:0.2:0.2:1.4:48.6:19.9:72188.0:9451.51:10399.97
00830010:Public School:East Bridgewater:03,04,05,06:00830000:Level 2:Level 2:0:0:0:162:164:177:187:0:0:0:0:0:0:0:690:0.3:0.3:23.3:34.8:18.0:3.2:0.7:2.0:90.4:0.3:0.0:3.3:54.9:25.4:72188.0:9451.51:10399.97
00870305:Public School:East Longmeadow:06,07,08:00870000:Level 1:Level 2:0:0:0:0:0:0:214:225:189:0:0:0:0:0:628:6.4:1.0:17.0:30.7:17.2:2.2:5.9:5.4:85.5:0.0:0.2:0.8:52.4:18.6:73819.0:12746.97:13554.78
00870505:Public School:East Longmeadow:09,10,11,12:00870000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:226:210:215:218:1:870:5.3:1.1:14.9:26.8:13.7:3.6:6.0:4.6:84.9:0.2:0.1:0.6:48.7:17.0:73819.0:12746.97:13554.78
00870010:Public School:East Longmeadow:03,04,05:00870000:Level 2:Level 2:0:0:0:98:80:91:0:0:0:0:0:0:0:0:269:11.2:3.0:16.0:40.1:24.5:3.3:5.9:5.6:82.5:0.0:0.0:2.6:44.6:15.6:73819.0:12746.97:13554.78
00870013:Public School:East Longmeadow:PK,K,01,02:00870000:Insufficient data:Level 2:41:169:182:0:0:0:0:0:0:0:0:0:0:0:563:8.3:5.0:15.3:35.2:20.2:1.1:4.8:8.7:82.2:0.0:0.0:3.2:55.2:20.6:73819.0:12746.97:13554.78
00870015:Public School:East Longmeadow:03,04,05:00870000:Level 2:Level 2:0:0:0:100:99:101:0:0:0:0:0:0:0:0:300:4.0:0.3:16.0:28.0:13.7:1.7:3.0:5.3:86.3:0.0:0.0:3.7:51.7:17.6:73819.0:12746.97:13554.78
00850005:Public School:Eastham:PK,K,01,02,03,04,05:00850000:Level 1:Level 1:11:29:25:24:38:28:0:0:0:0:0:0:0:0:182:4.4:2.2:17.0:40.1:29.1:5.5:1.6:3.8:85.7:1.1:0.0:2.2:48.4:12.8:84365.0:27749.19:26985.63
00860005:Public School:Easthampton:K,01,02,03,04:00860000:Level 1:Level 3:0:42:43:41:25:0:0:0:0:0:0:0:0:0:194:6.2:5.7:18.6:42.3:30.4:1.0:2.1:13.4:79.4:0.5:0.0:3.6:58.8:21.6:70494.0:12172.03:12916.13
00860505:Public School:Easthampton:09,10,11,12:00860000:Level 1:Level 3:0:0:0:0:0:0:0:0:0:129:132:103:103:4:471:7.2:1.7:15.5:37.6:27.6:2.3:4.0:11.7:81.1:0.0:0.2:0.6:47.1:17.9:70494.0:12172.03:12916.13
00860010:Public School:Easthampton:PK,K,01,02,03,04:00860000:Level 1:Level 3:43:40:44:40:48:0:0:0:0:0:0:0:0:0:256:5.1:2.0:25.0:52.7:38.7:1.6:3.5:9.8:81.6:0.8:0.0:2.7:53.9:20.5:70494.0:12172.03:12916.13
00860020:Public School:Easthampton:K,01,02,03,04:00860000:Level 1:Level 3:0:38:43:20:48:0:0:0:0:0:0:0:0:0:192:5.7:3.6:15.1:39.1:28.1:1.0:5.7:13.0:75.0:0.5:0.0:4.7:55.2:21.2:70494.0:12172.03:12916.13
00860305:Public School:Easthampton:05,06,07,08:00860000:Level 3:Level 3:0:0:0:0:0:105:109:124:111:0:0:0:0:0:449:6.5:0.9:20.0:40.1:29.8:1.8:3.6:10.5:82.4:0.0:0.0:1.8:48.3:20.3:70494.0:12172.03:12916.13
00880003:Public School:South Easton:PK,K,01,02:00880000:Insufficient data:Level 2:16:81:90:0:0:0:0:0:0:0:0:0:0:0:253:4.3:4.3:13.0:24.1:12.3:8.3:2.8:0.4:87.0:0.4:0.4:0.8:56.9:19.4:73226.0:11924.26:12730.58
00880405:Public School:North Easton:06,07,08:00880000:Level 2:Level 2:0:0:0:0:0:0:300:294:293:0:0:0:0:0:887:3.5:0.0:19.4:27.1:10.9:5.4:3.4:3.5:85.1:0.1:0.0:2.5:49.3:18.3:73226.0:11924.26:12730.58
00880020:Public School:North Easton:PK,K,01,02:00880000:Insufficient data:Level 2:14:64:80:0:0:0:0:0:0:0:0:0:0:0:233:6.4:3.0:6.0:21.5:14.2:5.6:2.1:5.6:84.1:1.3:0.0:1.3:50.6:18.0:73226.0:11924.26:12730.58
00880505:Public School:North Easton:09,10,11,12:00880000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:267:302:326:304:0:1199:3.8:0.8:15.2:23.6:10.5:4.8:4.1:5.0:82.7:0.2:0.1:3.3:47.2:19.6:73226.0:11924.26:12730.58
00880015:Public School:North Easton:PK,K,01,02:00880000:Insufficient data:Level 2:48:99:105:0:0:0:0:0:0:0:0:0:0:0:343:1.7:1.2:15.5:21.6:8.2:3.8:1.7:4.4:84.3:0.3:0.0:5.5:52.8:19.9:73226.0:11924.26:12730.58
00880025:Public School:North Easton:03,04,05:00880000:Level 2:Level 2:0:0:0:255:296:284:0:0:0:0:0:0:0:0:835:4.1:0.8:17.1:26.5:11.1:4.0:3.2:4.0:86.2:0.0:0.0:2.6:51.0:24.0:73226.0:11924.26:12730.58
00890005:Public School:Edgartown:PK,K,01,02,03,04,05,06,07,08:00890000:Level 1:Level 1:5:36:46:42:32:42:34:34:40:0:0:0:0:0:348:27.3:15.8:22.7:51.7:27.6:3.2:0.3:18.1:71.0:2.3:0.0:5.2:45.7:16.2:87633.0:25857.89:24122.94
00910030:Public School:Erving:PK,K,01,02,03,04,05,06:00910000:Level 2:Level 2:26:19:11:17:18:22:12:0:0:0:0:0:0:0:136:0.0:0.0:20.6:41.9:29.4:0.0:0.0:3.7:86.8:0.0:0.0:9.6:52.9:18.4:69342.0:24757.07:19288.82
00930003:Public School:Everett:PK:00930000:Insufficient data:Level 2:209:0:0:0:0:0:0:0:0:0:0:0:0:0:209:61.2:0.0:9.1:47.8:44.0:16.3:8.1:44.0:29.7:0.0:0.0:1.9:57.4:14.8:76272.0:12505.76:13258.53
00930030:Public School:Everett:K,01,02,03,04,05,06,07,08,09,10,11,12:00930000:Insufficient data:Level 2:0:2:4:5:8:6:4:4:0:9:11:7:5:0:65:40.0:10.8:90.8:96.9:76.9:20.0:0.0:38.5:36.9:0.0:0.0:4.6:76.9:4.0:76272.0:12505.76:13258.53
00930505:Public School:Everett:09,10,11,12:00930000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:469:514:551:486:3:2023:58.5:17.2:11.7:58.8:39.8:19.9:4.4:43.9:30.2:0.3:0.1:1.1:52.0:17.1:76272.0:12505.76:13258.53
00930028:Public School:Everett:K,01,02,03,04,05,06,07,08:00930000:Level 1:Level 2:0:88:90:108:120:129:101:99:101:0:0:0:0:0:942:63.0:14.2:14.1:65.2:48.4:16.5:5.6:48.0:26.9:0.5:0.1:2.4:52.8:21.7:76272.0:12505.76:13258.53
00930038:Public School:Everett:K,01,02,03,04,05,06,07,08:00930000:Level 2:Level 2:0:119:98:106:107:111:113:104:94:0:0:0:0:0:931:53.8:16.2:19.2:66.2:47.6:19.2:4.6:44.1:28.7:0.5:0.0:2.8:47.8:21.0:76272.0:12505.76:13258.53
00930018:Public School:Everett:K,01,02,03,04,05,06,07,08:00930000:Level 2:Level 2:0:102:84:111:104:126:102:87:77:0:0:0:0:0:878:54.0:13.8:19.2:63.9:44.4:13.1:5.0:46.8:32.7:0.6:0.2:1.6:49.7:20.3:76272.0:12505.76:13258.53
00930058:Public School:Everett:K,01,02,03,04,05,06,07,08:00930000:Level 2:Level 2:0:74:103:81:111:96:98:104:104:0:0:0:0:0:871:73.8:27.4:9.8:72.1:51.7:18.8:3.0:60.2:16.2:0.2:0.0:1.6:49.0:23.8:76272.0:12505.76:13258.53
00930010:Public School:Everett:K,01,02,03,04,05,06,07,08:00930000:Level 1:Level 2:0:69:92:77:74:59:58:54:35:0:0:0:0:0:595:77.5:24.4:9.7:71.8:51.8:13.4:6.4:61.0:16.5:1.0:0.0:1.7:47.6:21.7:76272.0:12505.76:13258.53
00930015:Public School:Everett:PK,K,01,02,03,04:00930000:Level 1:Level 2:289:60:57:46:41:0:0:0:0:0:0:0:0:0:564:64.7:11.5:23.9:67.2:52.3:15.8:6.9:41.0:34.4:0.0:0.0:2.0:56.7:15.5:76272.0:12505.76:13258.53
00940010:Public School:Fairhaven:PK,K,01,02,03,04,05:00940000:Level 2:Level 2:44:64:72:70:59:67:0:0:0:0:0:0:0:0:436:2.8:1.6:18.1:45.2:33.9:1.6:1.6:6.2:86.0:0.5:0.0:4.1:52.3:21.9:65648.0:11215.04:12046.13
00940505:Public School:Fairhaven:09,10,11,12:00940000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:170:158:139:147:2:616:2.3:0.8:12.0:30.5:21.6:0.8:1.6:5.8:89.1:0.2:0.0:2.4:47.9:15.1:65648.0:11215.04:12046.13
00940305:Public School:Fairhaven:06,07,08:00940000:Level 2:Level 2:0:0:0:0:0:0:165:141:152:0:0:0:0:0:458:4.4:1.3:12.0:35.8:27.9:1.1:2.6:4.1:89.5:0.7:0.0:2.0:52.6:17.0:65648.0:11215.04:12046.13
00940030:Public School:Fairhaven:K,01,02,03,04,05:00940000:Level 2:Level 2:0:95:90:82:88:92:0:0:0:0:0:0:0:0:514:3.9:2.3:12.5:40.7:33.7:1.6:2.1:5.6:85.4:0.2:0.0:5.1:49.8:21.6:65648.0:11215.04:12046.13
00950505:Public School:Fall River:09,10,11,12:00950000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:597:513:516:497:0:2123:27.9:9.8:18.4:63.9:55.2:8.3:5.5:23.4:58.2:0.2:0.2:4.3:50.8:16.5:66693.0:13702.5:14076.23
00950009:Public School:Fall River:K,01,02,03,04,05:00950000:Level 1:Level 4:0:134:124:130:145:94:0:0:0:0:0:0:0:0:725:16.7:10.1:17.2:81.8:76.4:7.4:3.9:29.4:49.1:0.3:0.0:9.9:53.5:21.2:66693.0:13702.5:14076.23
00950515:Public School:Fall River:10,11,12:00950000:Insufficient data:Level 4:0:0:0:0:0:0:0:0:0:0:0:12:13:0:25:36.0:4.0:8.0:76.0:68.0:8.0:4.0:8.0:80.0:0.0:0.0:0.0:36.0::66693.0:13702.5:14076.23
00950017:Public School:Fall River:PK,K,01,02,03,04,05,06,07,08:00950000:Insufficient data:Level 4:20:68:79:81:59:51:61:68:66:0:0:0:0:0:624:22.1:17.0:24.7:86.9:78.7:9.9:5.3:30.3:43.9:0.2:0.6:9.8:53.2:17.8:66693.0:13702.5:14076.23
00950140:Public School:Fall River:K,01,02,03,04,05:00950000:Level 2:Level 4:0:46:51:54:50:43:0:0:0:0:0:0:0:0:293:4.4:2.4:11.3:51.2:45.4:1.4:1.0:8.9:80.9:0.0:0.0:7.8:47.8:25.3:66693.0:13702.5:14076.23
00950045:Public School:Fall River:PK,K,01,02,03,04,05,06,07,08:00950000:Level 2:Level 4:21:58:56:67:65:64:56:48:53:0:0:0:0:0:546:23.3:13.9:20.9:83.5:76.4:7.7:1.8:28.0:53.3:0.4:0.0:8.8:51.6:24.0:66693.0:13702.5:14076.23
00950013:Public School:Fall River:PK,K,01,02,03,04,05:00950000:Level 3:Level 4:27:102:97:104:96:84:0:0:0:0:0:0:0:0:597:41.4:34.0:13.2:79.2:70.2:7.5:2.0:36.0:48.6:0.0:0.0:5.9:49.6:21.9:66693.0:13702.5:14076.23
00950011:Public School:Fall River:K,01,02,03,04,05:00950000:Level 4:Level 4:0:116:135:124:91:118:0:0:0:0:0:0:0:0:713:24.1:18.1:11.8:86.7:81.1:8.7:5.6:33.5:40.5:0.6:0.0:11.1:50.5:23.6:66693.0:13702.5:14076.23
00950320:Public School:Fall River:06,07,08:00950000:Level 2:Level 4:0:0:0:0:0:0:294:249:227:0:0:0:0:0:770:16.5:5.2:19.9:64.9:59.4:6.5:3.8:21.0:62.6:0.3:0.0:5.8:49.0:22.4:66693.0:13702.5:14076.23
00950315:Public School:Fall River:06,07,08:00950000:Level 3:Level 4:0:0:0:0:0:0:214:204:204:0:0:0:0:0:622:16.1:5.5:22.7:71.5:62.9:7.7:4.7:21.7:59.2:0.2:0.3:6.3:56.1:21.2:66693.0:13702.5:14076.23
00950005:Public School:Fall River:PK,K,01,02,03,04,05:00950000:Level 2:Level 4:65:104:113:125:131:115:0:0:0:0:0:0:0:0:763:12.6:6.3:21.0:65.5:56.7:5.6:3.8:18.0:63.8:0.0:0.1:8.7:54.1:23.1:66693.0:13702.5:14076.23
00950335:Public School:Fall River:06,07,08:00950000:Level 2:Level 4:0:0:0:0:0:0:1:6:19:1:0:0:0:0:27:22.2:18.5:25.9:100.0:92.6:11.1:0.0:37.0:40.7:3.7:0.0:7.4:55.6:8.6:66693.0:13702.5:14076.23
00950325:Public School:Fall River:09,10,11,12:00950000:Level 3:Level 4:0:0:0:0:0:0:0:0:0:54:57:33:18:0:162:19.8:1.9:27.2:81.5:74.7:13.6:1.2:27.2:52.5:0.0:1.2:4.3:58.0:7.6:66693.0:13702.5:14076.23
00950145:Public School:Fall River:K,01,02,03,04,05:00950000:Level 4:Level 4:0:49:52:55:46:45:0:0:0:0:0:0:0:0:304:15.5:11.2:14.1:83.2:78.0:11.8:2.0:23.4:49.3:1.3:0.0:12.2:46.7:22.6:66693.0:13702.5:14076.23
00950130:Public School:Fall River:K,01,02,03,04,05:00950000:Level 1:Level 4:0:89:88:100:87:74:0:0:0:0:0:0:0:0:523:10.5:5.0:21.2:66.5:57.9:5.4:4.4:15.5:66.5:0.0:0.0:8.2:55.6:20.1:66693.0:13702.5:14076.23
00950340:Public School:Fall River:02,03,04,05,06,07,08:00950000:Level 3:Level 4:0:0:2:4:2:6:5:7:6:0:0:0:0:0:32:9.4:3.1:96.9:100.0:87.5:12.5:0.0:25.0:46.9:0.0:0.0:15.6:90.6:5.5:66693.0:13702.5:14076.23
00950305:Public School:Fall River:06,07,08:00950000:Level 3:Level 4:0:0:0:0:0:0:172:184:190:0:0:0:0:0:546:37.5:24.4:21.4:84.1:72.5:7.1:5.1:31.7:50.4:0.2:0.0:5.5:52.2:15.0:66693.0:13702.5:14076.23
00950065:Public School:Fall River:PK,K,01,02,03,04,05:00950000:Level 2:Level 4:48:112:116:102:131:141:0:0:0:0:0:0:0:0:768:15.2:7.6:18.2:73.4:66.8:4.9:5.3:23.2:57.6:0.1:0.0:8.9:50.0:22.0:66693.0:13702.5:14076.23
00960005:Public School:East Falmouth:PK,K,01,02,03,04:00960000:Level 2:Level 2:75:47:59:64:54:0:0:0:0:0:0:0:0:0:351:3.4:1.1:21.9:54.1:41.6:5.1:0.9:6.0:78.9:2.3:0.0:6.8:54.1:16.4:74830.0:15032.54:15804.68
00960505:Public School:Falmouth:09,10,11,12:00960000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:240:207:197:234:4:882:7.9:1.8:13.6:32.7:24.3:4.9:3.5:4.0:82.1:0.7:0.1:4.8:51.0:14.4:74830.0:15032.54:15804.68
00960405:Public School:Falmouth:07,08:00960000:Level 1:Level 2:0:0:0:0:0:0:0:290:278:0:0:0:0:0:568:5.5:1.9:20.2:37.9:24.8:4.6:3.0:3.9:80.5:1.4:0.0:6.7:51.2:17.5:74830.0:15032.54:15804.68
00960305:Public School:Falmouth:05,06:00960000:Level 2:Level 2:0:0:0:0:0:273:316:0:0:0:0:0:0:0:589:6.3:2.4:17.7:39.0:25.3:6.5:1.4:5.1:81.3:0.5:0.3:4.9:49.2:30.8:74830.0:15032.54:15804.68
00960020:Public School:Falmouth:K,01,02,03,04:00960000:Level 2:Level 2:0:84:98:96:107:0:0:0:0:0:0:0:0:0:464:8.4:5.2:13.8:38.1:26.9:3.0:3.4:6.0:78.7:1.5:0.0:7.3:53.9:18.2:74830.0:15032.54:15804.68
00960030:Public School:North Falmouth:K,01,02,03,04:00960000:Level 2:Level 2:0:63:74:65:62:0:0:0:0:0:0:0:0:0:312:6.1:2.2:14.7:33.7:21.5:2.2:1.9:5.4:86.2:0.0:0.0:4.2:49.0:18.3:74830.0:15032.54:15804.68
00960015:Public School:East Falmouth:PK,K,01,02,03,04:00960000:Level 2:Level 2:19:59:58:51:60:0:0:0:0:0:0:0:0:0:300:6.7:1.7:14.0:48.7:41.0:8.3:2.0:5.3:75.0:2.7:0.0:6.7:52.3:15.7:74830.0:15032.54:15804.68
00970315:Public School:Fitchburg:05,06,07,08:00970000:Level 2:Level 3:0:0:0:0:0:167:171:110:111:0:0:0:0:0:559:31.1:4.3:22.4:75.0:63.5:5.9:4.7:51.3:30.4:0.2:0.0:7.5:55.1:17.2:70158.0:13106.25:13783.33
00970016:Public School:Fitchburg:PK,K,01,02,03,04:00970000:Level 1:Level 3:92:122:111:99:99:0:0:0:0:0:0:0:0:0:642:26.6:12.5:24.6:73.1:64.3:4.5:2.5:51.4:34.1:0.3:0.2:7.0:52.5:23.4:70158.0:13106.25:13783.33
00970505:Public School:Fitchburg:PK,09,10,11,12:00970000:Level 3:Level 3:51:0:0:0:0:0:0:0:0:280:307:304:265:4:1211:34.9:7.1:21.7:63.7:54.0:7.3:6.1:48.3:32.0:0.0:0.1:6.1:52.1:20.3:70158.0:13106.25:13783.33
00970510:Public School:Fitchburg:09,10,11,12:00970000:Insufficient data:Level 3:0:0:0:0:0:0:0:0:0:9:19:46:84:14:172:14.0:2.9:32.0:72.1:60.5:7.0:1.2:34.9:54.7:0.0:0.0:2.3:55.2:7.0:70158.0:13106.25:13783.33
00970340:Public School:Fitchburg:PK,K,01,02,03,04,05,06,07,08:00970000:Level 1:Level 3:22:70:82:71:70:76:74:68:75:0:0:0:0:0:673:29.6:10.3:20.8:68.2:55.9:4.6:6.7:48.1:32.5:0.0:0.0:8.0:47.1:19.5:70158.0:13106.25:13783.33
00970048:Public School:Fitchburg:05,06,07,08:00970000:Level 3:Level 3:0:0:0:0:0:174:204:163:175:0:0:0:0:0:716:40.5:13.3:17.3:64.8:54.6:5.6:5.4:52.2:29.9:0.0:0.0:6.8:50.3:21.0:70158.0:13106.25:13783.33
00970043:Public School:Fitchburg:PK,K,01,02,03,04:00970000:Level 3:Level 3:0:119:136:123:118:0:0:0:0:0:0:0:0:0:622:23.3:15.9:16.9:68.2:58.8:5.8:3.1:44.9:38.1:0.0:0.2:8.0:51.9:21.6:70158.0:13106.25:13783.33
00970060:Public School:Fitchburg:PK,K,01,02,03,04:00970000:Level 3:Level 3:20:123:135:142:133:0:0:0:0:0:0:0:0:0:677:32.8:19.2:25.0:79.3:65.6:6.1:5.6:53.3:27.3:0.1:0.1:7.4:49.9:19.8:70158.0:13106.25:13783.33
00980005:Public School:Florida:PK,K,01,02,03,04,05,06,07,08:00980000:Level 2:Level 2:11:7:5:9:13:9:4:11:5:0:0:0:0:0:81:0.0:0.0:25.9:45.7:25.9:1.2:0.0:0.0:96.3:0.0:1.2:1.2:44.4:9.4:40903.0:18763.85:17823.27
00990050:Public School:Foxborough:K,01,02,03,04:00990000:Level 1:Level 2:0:38:42:58:56:0:0:0:0:0:0:0:0:0:243:3.7:3.3:15.6:24.7:10.3:4.1:4.1:4.1:84.4:0.8:0.4:2.1:57.2:17.3:80964.0:14707.2:15206.93
00990505:Public School:Foxborough:09,10,11,12:00990000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:212:205:193:216:11:837:1.2:0.5:17.9:26.8:13.6:5.3:2.7:3.0:87.9:0.1:0.1:0.8:53.2:13.6:80964.0:14707.2:15206.93
00990405:Public School:Foxborough:05,06,07,08:00990000:Level 2:Level 2:0:0:0:0:0:205:204:214:193:0:0:0:0:0:816:1.1:0.9:18.8:28.2:15.4:4.5:2.3:4.2:86.8:0.5:0.0:1.7:51.0:17.8:80964.0:14707.2:15206.93
00990015:Public School:Foxborough:PK,K,01,02,03,04:00990000:Level 1:Level 2:74:42:39:53:61:0:0:0:0:0:0:0:0:0:311:1.9:1.6:17.0:25.1:11.6:2.6:6.1:3.5:83.3:0.3:0.3:3.9:55.6:17.3:80964.0:14707.2:15206.93
