0.5387576713723359,Percent of students who are Male
0.1608300586671163,Percent of Students who are Economically Disadvantaged
0.06906438960236333,Average Class Size
0.045776431472271076,Number of Students Enrolled in Grade 10
0.035860150184006484,Number of Students Enrolled in Grade 6
0.027593174207813438,Percent of Population with Arab Ancestry
0.022440818618901782,Percent of Students with Disabilities
0.01887074582455829,Median Family Income
0.01611141034167706,"Percent of Employed Civilians with Production, Transportation and Material Moving Occupations"
0.007835938718626985,Percent of Population with Lithuanian Ancestry
