0.4904284793492937,Percent of Students who are Economically Disadvantaged
0.11651852293898211,Percent of Students with High Needs
0.04365736462480718,Percent of Students who are Asian
0.017486959913099995,School Code
0.016289918127018414,Percent of Students who are Hispanic
0.011397020482375708,Number of Students Enrolled in Grade 11
0.010804079323716615,Number of Students Enrolled in Grade 12
0.008677605194742104,Percent of Students who are White
0.00853081053455061,Percent of Students with Disabilities
0.008330436479273359,Percent of Students who are African American
