0.3667110926202385,Percent of Students with High Needs
0.19936401201515028,Total Number of Students Enrolled
0.09292157827454381,Percent of Students who are Economically Disadvantaged
0.06773432699099083,Number of Students Enrolled in Grade 12
0.06758269325936364,Number of Students Enrolled in Grade 10
0.026926857528563986,Average Class Size
0.009726315377769794,Percent of Students who are White
0.009292999765899146,Number of Students Enrolled in Grade 11
0.008772858469429816,Percent of Students who are Hispanic
0.007830383248232568,Percent of students who are Male
