0.24358831526619587,Percent of Students with High Needs
0.21275852225991906,Average Class Size
0.11420282361406077,Percent of Students who are Economically Disadvantaged
0.05752003294253366,School Accountability and Assistance Level
0.05407564361494651,Percent of Students with Disabilities
0.04892961945353505,Percent of students who are Male
0.020573664769279392,School Accountability and Assistance Level
0.019902706395295632,Percent of Students who are Hispanic
0.010356966636315483,Average Salary
0.009911022918292949,District Accountability and Assistance Level
